code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-07-28,-76723200000,140.36,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.37
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-08-04,-76118400000,140.31,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.42
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-08-11,-75513600000,140.35,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.38
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-08-18,-74908800000,140.39,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.34
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-08-25,-74304000000,140.34,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.39
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-09-01,-73699200000,140.29,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.44
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-09-08,-73094400000,140.24,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.49
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-09-15,-72489600000,140.38,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.35
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-09-22,-71884800000,140.39,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.34
02723X0098/245A1,http://services.ades.eaufrance.fr/pointeau/02723X0098/245A1,1967-09-29,-71280000000,140.34,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,40494388800036,APRONA (40494388800036),,,3.39
